subject;body;label
"Login funktioniert nicht";"Ich kann mich nicht mehr in mein Konto einloggen und erhalte ständig eine Fehlermeldung.";support
"Fehler beim Start der App";"Die Anwendung stürzt direkt nach dem Öffnen ab und zeigt einen roten Fehlercode.";support
"E-Mail Empfang gestört";"Seit gestern bekomme ich keine neuen Nachrichten mehr. Können Sie das prüfen?";support
"Passwort ungültig";"Mein Passwort wird nicht akzeptiert, obwohl ich es nicht geändert habe.";support
"Download bricht ab";"Ich versuche eine Datei herunterzuladen, aber der Vorgang stoppt jedes Mal bei 5 Prozent.";support
"Softwareabsturz";"Während der Nutzung friert das Programm ein und reagiert nicht mehr.";support
"Anhang lässt sich nicht öffnen";"Ich kann den PDF-Anhang einer Nachricht nicht öffnen, es erscheint nur eine Fehlermeldung.";support
"Einstellungen werden nicht gespeichert";"Nach dem Neustart sind alle meine Einstellungen wieder weg. Bitte um Hilfe.";support
"Server nicht erreichbar";"Die Software kann keine Verbindung zum Server aufbauen. Bitte prüfen Sie die Verbindung.";support
"Installation schlägt fehl";"Beim Setup erscheint eine Meldung, dass Dateien fehlen. Ich kann die Installation nicht abschließen.";support
"Verbindung bricht ab";"Während meiner Arbeit werde ich immer wieder vom System getrennt.";support
"Nachrichten können nicht versendet werden";"Ich schreibe eine Nachricht, aber beim Senden erscheint ein Fehler.";support
"Bildschirm bleibt schwarz";"Nach dem Start der App sehe ich nur einen schwarzen Bildschirm.";support
"Login-Button ohne Funktion";"Der Button zum Anmelden reagiert nicht, egal wie oft ich ihn anklicke.";support
"Ständige Fehlermeldungen";"Ich bekomme beim Öffnen verschiedener Funktionen immer wieder unterschiedliche Fehlermeldungen.";support
"Drucker nicht erkannt";"Mein Gerät kann den Drucker nicht finden. Andere Programme drucken problemlos.";support
"Kein Profilzugriff";"Ich komme nicht auf meine Profilseite. Es lädt unendlich.";support
"Kamera funktioniert nicht";"Die App erkennt meine Kamera nicht, obwohl andere Programme sie nutzen können.";support
"Passwort zurücksetzen geht nicht";"Ich gebe meine E-Mail zum Zurücksetzen ein, aber ich erhalte keinen Code.";support
"Datensynchronisation fehlschlägt";"Kalenderdaten werden nicht synchronisiert.";support
"Upload bleibt hängen";"Beim Hochladen einer Datei bleibt der Fortschritt bei 0 Prozent stehen.";support
"Authentifizierung schlägt fehl";"Ich erhalte immer die Meldung, dass meine Identität nicht bestätigt werden konnte.";support
"Update nicht installierbar";"Das System sagt, das Update sei verfügbar, aber es kann nicht installiert werden.";support
"App ist sehr langsam";"Die Oberfläche reagiert verzögert, teilweise mehrere Sekunden.";support
"Probleme beim Zurücksetzen";"Ich wollte meine Einstellungen zurücksetzen, aber danach startet die App gar nicht mehr.";support

"Frage zu Rechnung 2024-118";"Ich benötige eine Kopie der Rechnung und eine Erläuterung der aufgeführten Positionen.";buchhaltung
